Categoria_ID,Categoria_Nombre,Categoria_Emoji,Categoria_Descripcion,Categoria_Filtros,Producto_ID,Producto_Nombre,Producto_Descripcion,Producto_PrecioBase,Producto_Emoji,Producto_Imagen,Producto_Disponible,Producto_Tipo,Combo_OpcionesDe,Combo_Cantidad,Combo_FiltroEtiqueta,Filtro_Etiqueta,Filtro_Destacado,Variantes
cat-promociones,Promociones,🔖,Elegí tus combos favoritos,,promo-01,Media Docena,¡Elegí 6 empanadas a precio de promo!,10000,🔥,/imagenes/promociones/prom-mdoc1.png,SI,combo,cat-empanadas,6,,,,
cat-promociones,Promociones,🔖,Elegí tus combos favoritos,,promo-02,Una Docena,¡Elegí 12 empanadas a super precio!,20000,🔥,/imagenes/promociones/prom-doc.png,SI,combo,cat-empanadas,12,,,,
cat-promociones,Promociones,🔖,Elegí tus combos favoritos,,promo-03,Doc. Empanadas + Pepsi 1.5lt,1 docena de empanadas + 1 Pepsi 1.5lt,22000,🔥,/imagenes/promociones/prom-doc-p.png,SI,combo,cat-empanadas,12,,,,
cat-promociones,Promociones,🔖,Elegí tus combos favoritos,,promo-04,½ Doc. + 2 Latas Pepsi,Media docena de empanadas + 2 latas de Pepsi,12500,🔥,/imagenes/promociones/prom-mdoc.png,SI,combo,cat-empanadas,6,,,,
cat-promociones,Promociones,🔖,Elegí tus combos favoritos,,promo-05,Pizza Común + Pepsi 1.5lt,1 pizza común + 1 Pepsi 1.5lt,15000,🔥,/imagenes/promociones/prom-pizza.png,SI,combo,cat-pizzas,1,comun,,,
cat-promociones,Promociones,🔖,Elegí tus combos favoritos,,promo-06,2 Pizzas Comunes,2 pizzas comunes al mejor precio,20000,🔥,/imagenes/promociones/prom-2pizza.jpeg,SI,combo,cat-pizzas,2,comun,,,



cat-empanadas,Empanadas,🥟,Podés combinar cualquier variedad,,emp-06,Carne Salada,Carne picada sazonada con verduras y especias clásicas,2500,🥟,/imagenes/productos/emp-c.jpg,SI,,,,,
cat-empanadas,Empanadas,🥟,Podés combinar cualquier variedad,,emp-02,Carne Dulce,Carne con pasas de uva. aceitunas y huevo duro,2500,🥟,/imagenes/productos/emp-c.jpg,SI,,,,,
cat-empanadas,Empanadas,🥟,Podés combinar cualquier variedad,,emp-05,Jamón y Queso,Jamón cocido con queso derretido por dentro,2500,🥟,/imagenes/productos/emp-jyq.jpg,SI,,,,,
cat-empanadas,Empanadas,🥟,Podés combinar cualquier variedad,,emp-03,Matambre a la Pizza,Matambre, mozzarella, tomate y orégano,2500,🥟,/imagenes/productos/emp.jpg,SI,,,,,
cat-empanadas,Empanadas,🥟,Podés combinar cualquier variedad,,emp-07,Verdura,Verdura,2500,🥟,/imagenes/productos/emp-v.jpg,SI,,,,,
cat-empanadas,Empanadas,🥟,Podés combinar cualquier variedad,,emp-08,Choclo,Choclo,2500,🥟,/imagenes/productos/emp.jpg,SI,,,,,
cat-empanadas,Empanadas,🥟,Podés combinar cualquier variedad,,emp-09,Tomate y Albahaca,"Queso, Tomate y Albahaca",2500,🥟,/imagenes/productos/empanada.jpg,SI,,,,,
cat-empanadas,Empanadas,🥟,Podés combinar cualquier variedad,,emp-10,Fugazzeta,Fugazzeta,2500,🥟,/imagenes/productos/empanada.jpg,SI,,,,,
cat-empanadas,Empanadas,🥟,Podés combinar cualquier variedad,,emp-11,Cheese Burger,Cheese Burger,2500,🥟,/imagenes/productos/emp-c.jpg,SI,,,,,
cat-empanadas,Empanadas,🥟,Podés combinar cualquier variedad,,emp-12,Roquefort y Nuez,Roquefort y Nuez,2500,🥟,/imagenes/productos/empanada.jpg,SI,,,,,
cat-empanadas,Empanadas,🥟,Podés combinar cualquier variedad,,emp-13,Humita,"Humita cremosa con choclo y queso",2500,🥟,imagenes/productos/empanada.jpg,SI,,,,,,
cat-empanadas,Empanadas,🥟,Podés combinar cualquier variedad,,emp-14,Árabe,"Carne con especias árabes, cebolla y limón",2500,🥟,imagenes/productos/emp.jpg,SI,,,,,,




cat-pizzas,Pizzas,🍕,Elegí el tamaño para cada pizza,todas:Todas|comun:Comunes|especial:Especiales ⭐,piz-01,Muzzarella,Salsa de tomate y mozzarella fresca,10000,🍕,imagenes/productos/pizza-esp.jpg,SI,,,,comun,,
cat-pizzas,Pizzas,🍕,Elegí el tamaño para cada pizza,todas:Todas|comun:Comunes|especial:Especiales ⭐,piz-02,Napolitana,Muzzarella con rodajas de tomate y albahaca,13000,🍕,imagenes/productos/pizza-esp.jpg,Si,,,,comun,,


cat-bebidas,Bebidas,🥤,Refrescate con nuestras bebidas,,beb-01,Lata de Pepsi,Pepsi 354ml bien fría,1,🥤,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDtKLsa2gKyrEaOasHo37K4dX3DfeOA8Y0pw&s,SI,,,,,,
cat-bebidas,Bebidas,🥤,Refrescate con nuestras bebidas,,beb-02,Lata de 7Up,7Up 354ml bien fría,1,🥤,https://elnenearg.vtexassets.com/arquivos/ids/155546/SEVEN-UP-LATA-X-354CC-1-274.jpg?v=637889961703130000,SI,,,,,,
cat-bebidas,Bebidas,🥤,Refrescate con nuestras bebidas,,beb-03,7Up 1.5lt,7Up 1.5 litros,1,🥤,https://cdn.batitienda.com/baticloud/images/product_picture_21d6b16212b9460a882bbe40943b1d09_638563004241190592_0_m.jpg,SI,,,,,,
cat-bebidas,Bebidas,🥤,Refrescate con nuestras bebidas,,beb-04,Pepsi 1.5lt,Pepsi 1.5 litros,1,🥤,https://delimart.com.ar/user-content/8447fa3a-32f0-412e-8d20-99e8d881413a.jpg,SI,,,,,,
cat-bebidas,Bebidas,🥤,Refrescate con nuestras bebidas,,beb-04,Pepsi Black 1.5lt,Pepsi Black 1.5 litros,1,🥤,https://statics.dinoonline.com.ar/imagenes/full_600x600_ma/3080434_f.jpg,SI,,,,,,
cat-bebidas,Bebidas,🥤,Refrescate con nuestras bebidas,,beb-05,Paso de los Toros 1.5lt,Paso de los Toros 1.5 litros,1,🥤,https://tercertiempo.tiendasi.ar/images/cache/tpt700x700/2022/04/tercertiempo/entities/paso-de-los-toros-15l-28084240.jpg,SI,,,,,,
cat-bebidas,Bebidas,🥤,Refrescate con nuestras bebidas,,beb-06,Corona 330ml,Botella de Corona 330ml,1,🍺,https://acdn-us.mitiendanube.com/stores/001/926/291/products/cerveza-corona-botella-no-retornable-330-ml-_2-896ac98079b1056f8b17168431763884-1024-1024.webp,SI,,,,,,
cat-bebidas,Bebidas,🥤,Refrescate con nuestras bebidas,,beb-07,Corona 710ml,Botella de Corona 710ml,1,🍺,https://acdn-us.mitiendanube.com/stores/001/926/291/products/cerveza-corona-botella-no-retornable-330-ml-_2-896ac98079b1056f8b17168431763884-1024-1024.webp,SI,,,,,,
cat-bebidas,Bebidas,🥤,Refrescate con nuestras bebidas,,beb-08,Stella Noire Lata,Lata de Stella Artois Noire,1,🍺,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRo2k7D8T25kFXuFsUYTEjmcmV2Vw25dtCpBg&s,SI,,,,,,
